m,width,(a) GEMM_OpenMP,(a) GEMM_OpenMP,(b) GEMM_OpenBLAS,(b) GEMM_OpenBLAS,(c) GEMM_CUDA_global_memory,(c) GEMM_CUDA_global_memory,(d) GEMM_CUDA_shared_memory,(d) GEMM_CUDA_shared_memory,(e) GEMM_cuBLAS,(e) GEMM_cuBLAS,(f) csrSpMM_serial,(f) csrSpMM_serial,(g) csrSpMM_OpenMP,(g) csrSpMM_OpenMP,(h) csrSpMM_CUDA_scalar,(h) csrSpMM_CUDA_scalar,(i) csrSpMM_CUDA_vector,(i) csrSpMM_CUDA_vector,(j) csrSpMM_cuSPARSE,(j) csrSpMM_cuSPARSE
100,16,0.00090,0.03771,0.00047,0.07175,0.00013,0.25218,0.00016,0.20859,0.00016,0.20480,0.00001,5.53967,0.00001,5.63200,0.00002,1.72408,0.00001,3.75467,0.00001,3.21829
100,32,0.00134,0.05036,0.00037,0.18365,0.00015,0.45056,0.00018,0.38183,0.00018,0.37969,0.00001,5.08150,0.00001,5.04358,0.00003,1.94207,0.00001,5.49463,0.00002,3.99905
100,64,0.00368,0.03674,0.00029,0.46449,0.00023,0.57518,0.00026,0.52800,0.00025,0.53638,0.00004,3.31294,0.00004,3.32108,0.00006,2.13199,0.00002,6.93169,0.00003,4.87971
200,16,0.00352,0.03476,0.00033,0.37337,0.00024,0.51240,0.00028,0.43273,0.00044,0.28024,0.00003,3.69982,0.00003,3.67760,0.00006,2.11875,0.00002,6.72879,0.00001,9.07141
200,32,0.00720,0.03403,0.00059,0.41443,0.00042,0.58877,0.00043,0.57630,0.00044,0.55414,0.00005,4.86934,0.00005,4.93806,0.00011,2.25325,0.00003,8.13714,0.00002,11.71904
200,64,0.01446,0.03387,0.00105,0.46476,0.00077,0.63453,0.00081,0.60179,0.00077,0.63618,0.00015,3.35748,0.00015,3.35288,0.00021,2.32269,0.00005,9.66185,0.00003,13.99589
300,16,0.00800,0.03628,0.00068,0.42581,0.00059,0.49054,0.00060,0.48562,0.00062,0.47220,0.00008,3.82105,0.00008,3.82105,0.00013,2.29022,0.00004,8.29714,0.00002,12.51724
300,32,0.01603,0.03623,0.01298,0.04475,0.00087,0.66912,0.00088,0.65627,0.00087,0.66759,0.00012,4.85213,0.00012,4.90541,0.00025,2.35810,0.00006,9.18987,0.00004,14.41191
300,64,0.03323,0.03496,0.00237,0.48992,0.00167,0.69391,0.00170,0.68169,0.00169,0.68734,0.00035,3.35335,0.00035,3.34755,0.00049,2.39505,0.00011,10.53128,0.00008,15.44681
400,16,0.01416,0.03791,0.00175,0.30721,0.00079,0.68283,0.00081,0.66506,0.00081,0.66097,0.00014,3.81182,0.00014,3.83634,0.00023,2.35707,0.00006,9.33398,0.00003,19.58774
