time,gflops
 0.89600,0.00223
  12.80000,0.00125
  15.42900,0.00350
  35.28000,0.00363
  78.54000,0.00318
  162.36600,0.00266
  262.22400,0.00262
  404.33800,0.00253
  589.46200,0.00247
  834.89300,0.00240
  1293.75700,0.00206
  1501.21200,0.00230
  2355.88000,0.00187
  2913.01800,0.00188
  4646.06500,0.00145
  9101.64400,0.00090
  12722.64200,0.00077
  16909.38100,0.00069
  23099.19300,0.00059
  23652.25100,0.00068
  0.41200,0.00485
  1.58100,0.01012
  11.26100,0.00480
  21.52700,0.00595
  25.57400,0.00978
  58.44400,0.00739
  74.74200,0.00918
  224.16000,0.00457
  250.12800,0.00583
  244.49600,0.00818
  469.98100,0.00566
  575.59200,0.00600
  790.97900,0.00556
  956.38900,0.00574
  1433.96500,0.00471
  1471.55800,0.00557
  2473.45300,0.00397
  2522.87000,0.00462
  3769.01400,0.00364
  3128.51300,0.00511
  34.84600,0.00006
  4.12400,0.00388
  11.95400,0.00452
  30.45500,0.00420
  58.30000,0.00429
  223.69400,0.00193
  339.69300,0.00202
  159.92300,0.00640
  322.82800,0.00452
  346.82700,0.00577
  654.69300,0.00407
  603.29700,0.00573
  719.64600,0.00611
  918.91500,0.00597
  1141.42900,0.00591
  1115.63800,0.00734
  1854.70300,0.00530
  2158.58600,0.00540
  2681.05900,0.00512
  3035.38100,0.00527
 
